Neighborhood	Sector #	Population (2010)	Total # Units (2000)	Total # Units (2010)	% Occupied Units (2010)	% Vacant Units (2010)	# Occupied Units (2010)	% Owner Occupied Units (2010)	% Renter Occupied Units (2010)	Est. Avg. Yrs. of Residence (2010)	% Living in Household (2010)	% Living in Group Quarters (2010)	% Units Built 00-09	% Units Built 90-99	% Units Built 80-89	% Units Built 60-79	% Units Built 40-59	% Units Built before 1939	Median Home Value (2000)	Med. Val. ('00 in '10 Dollars)	Median Home  Value (2010)	% Change Real Value 2000-2010	Median Sale Price (2010)	# Sales Counted (2010)	Foreclosures (2008)	Foreclosures (2010)	% of all Housing Units Foreclosed (2010)
Chartiers City	4	477	238	236	0.902542372881355969838068631361238658428192138671875	0.0974576271186440024063557530098478309810161590576171875	193	0.9015544041450780365920536496560089290142059326171875	0.09844559585492200504130977378736133687198162078857421875	32	1	0	0	0	0	0.26890756302521001686045565293170511722564697265625	0.34453781512604997327997580214287154376506805419921875	0.38655462184874000985956854492542333900928497314453125	63200.0	80030.1965318	76700.0	-0.0416117500157	70900.0	5	7	4	0.0169491525423729992583243841863804846070706844329833984375
Chateau	3	11	29	4	1	0	28	0	1	0	1	0	0	0	0	1	0	0	N/A	N/A	N/A	N/A	250000.0	1	9	0	0
Crafton Heights	4	3814	1819	1836	0.8850762527233120291469958829111419618129730224609375	0.1149237472766879986085797327177715487778186798095703125	1634	0.6279069767441860516754559284891001880168914794921875	0.372093023255814003835695302768726833164691925048828125	6.5	1	0	0	0.01295336787564800064276315794131733127869665622711181640625	0.049740932642487002690590003339821123518049716949462890625	0.2336787564766840130658920315909199416637420654296875	0.29637305699481897303115829345188103616237640380859375	0.407253886010362997627254344479297287762165069580078125	64450.0	81613.0722543	76650.0	-0.0608122218322	40000.0	60	29	18	0.0098039215686269998162316596790333278477191925048828125
Crawford-Roberts	15	2256	1540	1270	0.90866141732283500775935181081877090036869049072265625	0.09133858267716500611843599699568585492670536041259765625	1230	0.2447154471544719933628897479138686321675777435302734375	0.75528455284552797888153463645721785724163055419921875	3	1	0	0.08480104370515299805344255901218275539577007293701171875	0.290280495759948020673135715696844272315502166748046875	0.07305936073059400570617327730360557325184345245361328125	0.2237442922374429932208528271075920201838016510009765625	0.07827788649706500512248652512425906024873256683349609375	0.249836921069797990302419066210859455168247222900390625	70800.0	89654.0809249	94600.0	0.0551666920694	11500.0	28	1	2	0.001574803149605999950944035248312502517364919185638427734375
Duquesne Heights	6	2425	1417	1393	0.88729361091170100284131194712244905531406402587890625	0.11270638908829899715868805287755094468593597412109375	1287	0.55866355866355899006947538509848527610301971435546875	0.44133644133644100993052461490151472389698028564453125	5	1	0	0.00817438692098100029570506563914022990502417087554931640625	0.0047683923705719999386332119684084318578243255615234375	0.1587193460490460006351298716253950260579586029052734375	0.15258855585831099244131792147527448832988739013671875	0.277929155313351994305293146680924110114574432373046875	0.397820163487738021057538162494893185794353485107421875	66200.0	83829.0982659	100500.0	0.198867721101	90610.0	50	5	8	0.005743000717874999737355690143658648594282567501068115234375
East Allegheny	3	2136	1735	1577	0.7939124920735569634899775337544269859790802001953125	0.2060875079264430087544468506166595034301280975341796875	1355	0.415498154981550016362490396204520948231220245361328125	0.5845018450184500391486608350533060729503631591796875	4	1	0	0.00809935205183599966904939293499410268850624561309814453125	0.01403887688984900052047155583068160922266542911529541015625	0.0269978401727859994296832013560560881160199642181396484375	0.061015118790497001322048475913106813095510005950927734375	0.1771058315334770039140011022027465514838695526123046875	0.71274298056155505065589750302024185657501220703125	36700.0	46473.2312139	77100.0	0.659019568602	51688.0	78	6	4	0.002536461636017999822512170027266620309092104434967041015625
East Carnegie	4	570	193	251	0.8924302788844620248909222937072627246379852294921875	0.1075697211155380028646533219216507859528064727783203125	114	0.71929824561403499227907332169706933200359344482421875	0.28070175438596500772092667830293066799640655517578125	30	1	0	0	0	0	0	0.3019801980198020263657099349074997007846832275390625	0.6980198019801979736342900650925002992153167724609375	54400.0	68886.7514451	63500.0	-0.0781972052983	48250.0	16	1	2	0.007968127490040000093785010903957299888134002685546875
East Hills	11	3169	1890	1522	0.8659658344283840403221574888448230922222137451171875	0.1340341655716159874334181267840904183685779571533203125	1205	0.50871369294605794930674846909823827445507049560546875	0.491286307053941995182100299643934704363346099853515625	9	1	0	0.052663438256658999525594566648578620515763759613037109375	0.088983050847458000642831166260293684899806976318359375	0.006053268765133000030298493499003598117269575595855712890625	0.39527845036319597671337078281794674694538116455078125	0.302058111380144989066565130997332744300365447998046875	0.154963680387408986316444270414649508893489837646484375	50900.0	64454.699422	40700.0	-0.368548758042	11357.5	30	17	9	0.00591327201051199992376528058457552106119692325592041015625
East Liberty	12	5869	4062	3519	0.86842853083262294688893234706483781337738037109375	0.131571469167376997599916421677335165441036224365234375	3114	0.2148362235067440006996974943831446580588817596435546875	0.7851637764932559715447268899879418313503265380859375	3	0.9421874999999999555910790149937383830547332763671875	0.05781250000000000277555756156289135105907917022705078125	0.05200405885337400224699422324192710220813751220703125	0.0596144089294770029852088555344380438327789306640625	0.060375443937087998336199490267972578294575214385986328125	0.262049720953831000169742537764250300824642181396484375	0.13444951801116200584829130093567073345184326171875	0.4315068493150679973524574961629696190357208251953125	51400.0	65087.849711	64650.0	-0.00672705755263	79250.0	78	17	10	0.0028417163967040001519570591170804618741385638713836669921875
Elliott	4	2381	1415	1270	0.80944881889763797833126091063604690134525299072265625	0.1905511811023619939131634737350395880639553070068359375	987	0.61398176291793304937272068855236284434795379638671875	0.386018237082067006138430542705464176833629608154296875	10	1	0	0.007027406886859000230416416599155127187259495258331298828125	0.055516514406183999075228285846606013365089893341064453125	0.035839775122979998511763000124119571410119533538818359375	0.090653548840477993220332564305863343179225921630859375	0.1517919887561489933336389412943390198051929473876953125	0.65917076598735102610504554832004941999912261962890625	46100.0	58376.4566474	51300.0	-0.121221071881	7031.0	59	23	30	0.0236220472440939986691343932534437044523656368255615234375
